Date,Centre_Name,Commodity_Name,Price
01-01-09,CHANDIGARH,Rice,NA
01-01-09,DELHI,Rice,1700
01-01-09,SHIMLA,Rice,NA
01-01-09,SRINAGAR,Rice,NA
01-01-09,JAMMU,Rice,NA
01-01-09,AMRITSAR,Rice,1525
01-01-09,LUDHIANA,Rice,1400
01-01-09,LUCKNOW,Rice,NA
01-01-09,DEHRADUN,Rice,NA
01-01-09,RAIPUR,Rice,NA
01-01-09,AHMEDABAD,Rice,NA
01-01-09,BHOPAL,Rice,1450
01-01-09,MUMBAI,Rice,NA
01-01-09,JAIPUR,Rice,1500
01-01-09,PATNA,Rice,NA
01-01-09,RANCHI,Rice,NA
01-01-09,BHUBANESHWAR,Rice,1450
01-01-09,KOLKATA,Rice,NA
01-01-09,GUWAHATI,Rice,NA
01-01-09,SHILLONG,Rice,NA
01-01-09,AIZWAL,Rice,NA
01-01-09,KOHIMA,Rice,NA
01-01-09,AGARTALA,Rice,NA
01-01-09,BENGALURU,Rice,1550
01-01-09,T.PURAM,Rice,NA
01-01-09,CHENNAI,Rice,NA
01-01-09,HYDERABAD,Rice,NA
02-01-09,CHANDIGARH,Rice,NA
02-01-09,DELHI,Rice,NA
02-01-09,SHIMLA,Rice,NA
02-01-09,SRINAGAR,Rice,NA
02-01-09,JAMMU,Rice,NA
02-01-09,AMRITSAR,Rice,1525
02-01-09,LUDHIANA,Rice,1400
02-01-09,LUCKNOW,Rice,NA
02-01-09,DEHRADUN,Rice,NA
02-01-09,RAIPUR,Rice,NA
02-01-09,AHMEDABAD,Rice,NA
02-01-09,BHOPAL,Rice,NA
02-01-09,MUMBAI,Rice,NA
02-01-09,JAIPUR,Rice,1500
02-01-09,PATNA,Rice,NA
02-01-09,RANCHI,Rice,NA
02-01-09,BHUBANESHWAR,Rice,1450
02-01-09,KOLKATA,Rice,NA
02-01-09,GUWAHATI,Rice,NA
02-01-09,SHILLONG,Rice,NA
02-01-09,AIZWAL,Rice,NA
02-01-09,KOHIMA,Rice,NA
02-01-09,AGARTALA,Rice,NA
02-01-09,BENGALURU,Rice,1550
02-01-09,T.PURAM,Rice,NA
02-01-09,CHENNAI,Rice,1650
02-01-09,HYDERABAD,Rice,NA
05-01-09,CHANDIGARH,Rice,NA
05-01-09,DELHI,Rice,1700
05-01-09,SHIMLA,Rice,NA
05-01-09,SRINAGAR,Rice,NA
05-01-09,JAMMU,Rice,NA
05-01-09,AMRITSAR,Rice,1450
05-01-09,LUDHIANA,Rice,1400
05-01-09,LUCKNOW,Rice,NA
05-01-09,DEHRADUN,Rice,NA
05-01-09,RAIPUR,Rice,NA
05-01-09,AHMEDABAD,Rice,NA
05-01-09,BHOPAL,Rice,NA
05-01-09,MUMBAI,Rice,NA
05-01-09,JAIPUR,Rice,NA
05-01-09,PATNA,Rice,NA
05-01-09,RANCHI,Rice,NA
05-01-09,BHUBANESHWAR,Rice,1450
05-01-09,KOLKATA,Rice,NA
05-01-09,GUWAHATI,Rice,NA
05-01-09,SHILLONG,Rice,NA
05-01-09,AIZWAL,Rice,NA
05-01-09,KOHIMA,Rice,NA
05-01-09,AGARTALA,Rice,NA
05-01-09,BENGALURU,Rice,NA
05-01-09,T.PURAM,Rice,NA
05-01-09,CHENNAI,Rice,1650
05-01-09,HYDERABAD,Rice,NA
06-01-09,CHANDIGARH,Rice,NA
06-01-09,DELHI,Rice,1700
06-01-09,SHIMLA,Rice,NA
06-01-09,SRINAGAR,Rice,NA
06-01-09,JAMMU,Rice,NA
06-01-09,AMRITSAR,Rice,1450
06-01-09,LUDHIANA,Rice,1400
06-01-09,LUCKNOW,Rice,NA
06-01-09,DEHRADUN,Rice,NA
06-01-09,RAIPUR,Rice,NA
06-01-09,AHMEDABAD,Rice,NA
06-01-09,BHOPAL,Rice,NA
06-01-09,MUMBAI,Rice,NA
06-01-09,JAIPUR,Rice,NA
06-01-09,PATNA,Rice,NA
06-01-09,RANCHI,Rice,NA
06-01-09,BHUBANESHWAR,Rice,1450
06-01-09,KOLKATA,Rice,NA
06-01-09,GUWAHATI,Rice,NA
06-01-09,SHILLONG,Rice,NA
06-01-09,AIZWAL,Rice,NA
06-01-09,KOHIMA,Rice,NA
06-01-09,AGARTALA,Rice,NA
06-01-09,BENGALURU,Rice,1550
06-01-09,T.PURAM,Rice,NA
06-01-09,CHENNAI,Rice,1650
06-01-09,HYDERABAD,Rice,NA
07-01-09,CHANDIGARH,Rice,NA
07-01-09,DELHI,Rice,1700
07-01-09,SHIMLA,Rice,NA
07-01-09,SRINAGAR,Rice,NA
07-01-09,JAMMU,Rice,NA
07-01-09,AMRITSAR,Rice,1450
07-01-09,LUDHIANA,Rice,1400
07-01-09,LUCKNOW,Rice,NA
